feature,importance
is_sp,0.14667432010173798
nivel_ingles_x_encoded,0.07251960784196854
tipo_contratacao_encoded,0.06030737981200218
nivel_academico_y_encoded,0.058251749724149704
recrutador_encoded,0.05373715981841087
cliente_encoded,0.0502355732023716
nivel_profissional_compatibility,0.04683171585202217
nivel_espanhol_x_encoded,0.03226926177740097
nivel_academico_x_encoded,0.03178217262029648
cv_has_technical_keywords,0.03038434311747551
nivel_profissional_x_encoded,0.029945621266961098
nivel_ingles_compatibility,0.029651878401637077
cv_length,0.028232265263795853
area_atuacao_encoded,0.027724824845790863
cv_has_certifications,0.027445049956440926
titulo_profissional_encoded,0.02707047574222088
dias_entre_requisicao_candidatura,0.026678193360567093
cidade_encoded,0.024772286415100098
nivel_ingles_y_encoded,0.024568326771259308
remuneracao_numeric,0.02368905581533909
nivel_espanhol_compatibility,0.02364109270274639
nivel_espanhol_y_encoded,0.022951815277338028
nivel_ingles_match,0.02287987247109413
nivel_academico_match,0.022596245631575584
is_sap_vaga,0.020622197538614273
nivel_espanhol_match,0.0206136591732502
nivel_profissional_y_encoded,0.013923879712820053
nivel_profissional_match,0.0
is_pcd,0.0
has_cv_en,0.0
